,rowId,x,y,z,radius,link
0,1,25516.0,11204.0,17900.0,4.0,-1
1,2,25516.0,11196.0,17900.0,4.0,1
2,3,25508.0,11180.0,17908.0,12.0,2
3,4,25524.0,11164.0,17924.0,13.8885,3
4,5,25540.0,11140.0,17916.0,21.2982,4
5,6,25577.8,11031.7,17886.9,107.379,5
6,7,25574.8,10959.8,17836.1,172.425,6
7,8,25573.7,10932.1,17816.4,197.52,7
8,9,25572.5,10903.5,17796.2,223.418,8
9,10,25576.5,10880.8,17747.8,215.224,9
10,11,25583.5,10863.3,17684.8,185.999,10
11,12,25584.5,10860.8,17675.8,181.837,11
12,13,25587.4,10853.6,17649.7,169.73,12
13,14,25596.5,10830.9,17567.9,131.803,13
14,15,25650.7,10753.6,17494.2,82.5556,14
15,16,25671.0,10717.2,17489.0,67.8106,15
16,17,25679.5,10674.7,17480.5,44.314,16
17,18,25716.0,10620.0,17444.0,21.2982,17
18,19,25740.0,10612.0,17404.0,7.31371,18
19,20,25740.0,10604.0,17396.0,4.0,19
20,21,25732.0,10612.0,17476.0,13.8885,18
21,22,25748.0,10604.0,17492.0,7.31371,21
22,23,25756.0,10604.0,17492.0,4.0,22
23,24,25764.0,10604.0,17492.0,4.0,23
24,25,25725.2,10706.7,17589.9,38.4731,17
25,26,25732.0,10708.0,17660.0,54.2409,25
26,27,25692.0,10660.0,17628.0,31.7771,25
27,28,25604.0,10676.0,17548.0,21.2982,16
28,29,25588.0,10660.0,17564.0,12.0,28
29,30,25548.0,10740.0,17516.0,36.0,15
30,31,25508.0,10692.0,17508.0,7.31371,30
31,32,25500.0,10684.0,17508.0,4.0,31
32,33,25500.0,10676.0,17508.0,4.0,32
33,34,25436.0,10716.0,17676.0,31.7771,14
34,35,25428.0,10684.0,17684.0,7.31371,34
35,36,25428.0,10676.0,17684.0,4.0,35
36,37,25700.0,10748.0,17724.0,92.6644,13
37,38,25684.0,10652.0,17724.0,21.2982,37
38,39,25668.0,10636.0,17716.0,12.0,38
39,40,25652.0,10636.0,17716.0,4.0,39
40,41,25644.0,10636.0,17716.0,4.0,40
41,42,25356.0,10844.0,17740.0,67.5542,12
42,43,25300.0,10900.0,17628.0,67.5542,11
43,44,25236.0,10884.0,17612.0,28.9848,43
44,45,25204.0,10884.0,17612.0,24.8444,44
45,46,25188.0,10868.0,17596.0,12.0,45
46,47,25780.0,10836.0,17892.0,47.225,10
47,48,25828.0,10812.0,17900.0,4.0,47
48,49,25836.0,10812.0,17908.0,4.0,48
49,50,25708.0,11124.0,17716.0,39.0813,9
50,51,25732.0,11164.0,17708.0,28.9848,50
51,52,25733.4,11166.4,17708.0,28.3756,51
52,53,25756.0,11204.0,17708.0,18.6274,52
53,54,25780.0,11212.0,17732.0,12.0,53
54,55,25780.0,11212.0,17748.0,12.0,54
55,56,25788.0,11196.0,17764.0,4.0,55
56,57,25796.0,11188.0,17772.0,4.0,56
